"Store Locator Location","Store Locator Location"
Back,Back
"General Information","General Information"
"Location Name","Location Name"
"Store View","Store View"
Position,Position
"Short Description","Short Description"
"
                        If set, a pop-up and a store list on the store locator's page will show the short description.
                    ","
                        If set, a pop-up and a store list on the store locator's page will show the short description.
                    "
Description,Description
Address,Address
Country,Country
State/Province,State/Province
City,City
Zip,Zip
"Phone Number","Phone Number"
"E-mail Address","E-mail Address"
"Website URL","Website URL"
"Please set the URL to the external websites in the format: http://www.example.com","Please set the URL to the external websites in the format: http://www.example.com"
"Location On Map","Location On Map"
Latitude,Latitude
"Valid latitudes values are from -85 to 85 degrees.","Valid latitudes values are from -85 to 85 degrees."
Longitude,Longitude
"Valid longitudes values are from -180 to 180 degrees.","Valid longitudes values are from -180 to 180 degrees."
"Marker Image","Marker Image"
"
                        Image will be resized to 27x43 px. Allowed file types : jpg jpeg gif png. Gif can have only one frame
                    ","
                        Image will be resized to 27x43 px. Allowed file types : jpg jpeg gif png. Gif can have only one frame
                    "
Preview,Preview
"Image Gallery","Image Gallery"
"Images of Location","Images of Location"
"
                        Allowed file types : jpg jpeg gif png. Gif can have only one frame
                    ","
                        Allowed file types : jpg jpeg gif png. Gif can have only one frame
                    "
"Product Conditions","Product Conditions"
"Meta Information","Meta Information"
"Meta Robots","Meta Robots"
Canonical,Canonical
"Store Schedule","Store Schedule"
"Show Schedule","Show Schedule"
"-- Please Select --","-- Please Select --"
"Add New","Add New"
Enable,Enable
Disable,Disable
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Store Views","Store Views"
Name,Name
Approve,Approve
Decline,Decline
Id,Id
"Location Id","Location Id"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Date Placed","Date Placed"
"Date Published","Date Published"
"Store Locator Schedule","Store Locator Schedule"
"Schedule Name","Schedule Name"
"Add New Schedule","Add New Schedule"
Schedule,Schedule
